1	2118 
2	1536 
3	940 
4	414 
5	445 
6	632 
7	1310 
8	2083 
9	1163 
10	2274 
11	2244 
12	1837 
13	1950 
14	802 
15	1488 
16	2072 
17	1524 
18	1750 
19	414 
20	806 
21	2185 
22	271 
23	2206 
24	84 
25	1349 
26	1882 
27	904 
28	948 
29	719 
30	139 
31	765 
32	2368 
33	844 
34	795 
35	1111 
36	1817 
37	1594 
38	158 
39	281 
40	124 
41	2182 
42	120 
43	1261 
44	25 
45	983 
46	1628 
47	563 
48	798 
49	495 
50	1485 
51	2614 
52	2211 
53	1720 
54	1507 
55	1525 
56	1247 
57	1346 
58	1789 
59	1355 
60	1307 
61	1696 
62	1654 
63	962 
64	1272 
65	688 
66	1026 
67	1025 
68	1104 
69	1315 
70	516 
71	1595 
72	1374 
73	1526 
74	2372 
75	830 
76	2142 
77	2412 
78	1268 
79	1975 
80	1384 
81	1484 
82	752 
83	1198 
84	1566 
85	778 
86	1640 
87	1358 
88	1566 
89	207 
90	1548 
91	2166 
92	148 
93	2437 
94	2580 
95	100 
96	803 
97	439 
98	1423 
99	886 
100	2256 
101	1328 
102	913 
103	1283 
104	1512 
105	592 
106	974 
107	671 
108	2074 
109	2582 
110	2619 
111	1482 
112	1674 
113	2176 
114	1440 
115	2318 
116	2148 
117	477 
118	1241 
119	337 
120	126 
121	1746 
122	121 
123	952 
124	1650 
125	2366 
126	2055 
127	2442 
128	1650 
129	1314 
130	2525 
131	355 
132	955 
133	2558 
134	1644 
135	2166 
136	1375 
137	1378 
138	2029 
139	2323 
140	58 
141	716 
142	433 
143	1257 
144	1186 
145	974 
146	1489 
147	975 
148	2458 
149	1924 
150	2380 
151	2597 
152	1329 
153	1313 
154	1407 
155	2192 
156	2322 
157	1724 
158	2241 
159	846 
160	1302 
161	1592 
162	1355 
163	768 
164	1108 
165	1599 
166	2188 
167	1015 
168	947 
169	1372 
170	2614 
171	1445 
172	735 
173	844 
174	445 
175	384 
176	1857 
177	1720 
178	2186 
179	1945 
180	1338 
181	770 
182	257 
183	502 
184	1749 
185	174 
186	539 
187	708 
188	1202 
189	221 
190	670 
191	2288 
192	1491 
193	189 
194	1832 
195	766 
196	1839 
197	1832 
198	2214 
199	1404 
200	1741 
201	1842 
202	2093 
203	2067 
204	1816 
205	1450 
206	2064 
207	168 
208	533 
209	1612 
210	1668 
211	1389 
212	1285 
213	1721 
214	1893 
215	2304 
216	50 
217	1182 
218	2485 
219	2376 
220	887 
221	1962 
222	1622 
223	780 
224	1167 
225	1628 
226	774 
227	306 
228	381 
229	218 
230	70 
231	1889 
232	249 
233	870 
234	2030 
235	2353 
236	1623 
237	2471 
238	1583 
239	2478 
240	1609 
241	309 
242	424 
243	2572 
244	2365 
245	145 
246	1032 
247	72 
248	1016 
249	2226 
250	745 
251	2102 
252	1134 
253	2052 
254	1463 
255	1761 
256	2210 
257	2556 
258	1333 
259	1427 
260	1964 
261	1788 
262	232 
263	2037 
264	933 
265	1363 
266	1310 
267	385 
268	2015 
269	129 
270	2476 
271	1476 
272	1870 
273	2413 
274	2308 
275	437 
276	187 
277	1394 
278	1800 
279	1246 
280	1523 
281	1250 
282	1595 
283	403 
284	2321 
285	1184 
286	1493 
287	599 
288	502 
289	1399 
290	268 
291	504 
292	2611 
293	1165 
294	2523 
295	526 
296	2043 
297	2270 
298	1685 
299	1750 
300	637 
301	1025 
302	875 
303	2486 
304	2041 
305	194 
306	67 
307	355 
308	251 
309	1442 
310	771 
311	680 
312	1355 
313	280 
314	340 
315	1868 
316	956 
317	1419 
318	847 
319	845 
320	1602 
321	708 
322	2440 
323	1649 
324	739 
325	2399 
326	1354 
327	297 
328	5 
329	1167 
330	2555 
331	371 
332	1368 
333	1061 
334	1996 
335	2608 
336	1406 
337	529 
338	1566 
339	2568 
340	2386 
341	373 
342	716 
343	1344 
344	1767 
345	477 
346	994 
347	1700 
348	2375 
349	1147 
350	2164 
351	58 
352	693 
353	15 
354	561 
355	42 
356	395 
357	1671 
358	2519 
359	310 
360	1462 
361	1612 
362	2332 
363	407 
364	2181 
365	578 
366	776 
367	2603 
368	2173 
369	898 
370	1427 
371	463 
372	1091 
373	12 
374	1466 
375	2565 
376	1438 
377	171 
378	513 
379	373 
380	1567 
381	425 
382	627 
383	759 
384	2006 
385	1133 
386	1572 
387	1433 
388	1721 
389	400 
390	2592 
391	398 
392	284 
