1	1662	0.970877
1	2005	0.841924
1	2480	1.9422
1	2767	2.59349
1	2819	3.72145
1	2850	3.7678
1	2978	4.63311
2	480	2.89974
2	1244	1.85544
2	1281	2.67701
2	1528	2.34705
2	1702	2.49443
2	1894	3.18814
2	1941	3.0788
3	1143	2.08043
3	1512	3.07242
3	1546	2.65852
3	1608	2.30038
3	1740	2.27051
3	1852	3.20386
3	1860	2.72093
4	339	1.93007
4	391	1.93007
4	470	3.1899
4	838	2.1612
4	1709	3.47114
4	1790	3.47114
4	2364	2.46022
5	975	1.99576
5	1171	2.45805
5	1547	2.68216
5	1630	2.68216
5	1757	3.14616
5	2549	1.91451
5	2844	3.68017
6	716	2.18538
6	1766	1.43856
6	1957	1.89202
6	2027	3.26961
6	2435	2.83958
6	2569	2.95929
6	2624	3.83448
7	341	3.19811
7	1214	2.8745
7	1350	2.47341
7	1475	0.0340538
7	1608	2.95842
7	1705	3.2694
7	1852	3.8619
8	1059	0.403812
8	1211	1.7994
8	1966	1.70725
8	2053	3.72542
8	2308	2.46567
8	2667	4.0699
8	2699	4.31776
9	111	1.6316
9	907	2.01066
9	1903	2.79532
9	2117	3.01464
9	2169	3.51186
9	2746	2.56786
9	2866	2.94954
10	253	2.01035
10	535	2.58539
10	727	2.5854
10	812	2.5854
10	829	3.19755
10	1849	3.27115
10	2125	2.31187
11	1077	1.59252
11	1734	0.750831
11	2157	1.67549
11	2415	3.98721
11	2491	3.27181
11	2599	3.60304
11	2612	3.66304
12	2017	1.18334
12	2190	1.79314
12	2350	2.36959
12	2705	3.8338
12	2747	2.37642
12	2763	3.78441
12	2959	3.19044
13	422	2.76393
13	2020	2.74604
13	2484	0.0531683
13	2794	1.77275
13	2972	3.49669
13	2997	3.80812
13	3000	3.83343
14	861	3.61068
14	1532	1.06693
14	1913	1.82166
14	2332	1.78572
14	2456	2.27706
14	2781	3.6089
14	2898	4.22568
15	1133	3.41919
15	1317	1.70515
15	1861	2.62542
15	2091	2.20724
15	2220	2.0492
15	2302	3.21142
15	2320	3.21503
16	23	2.91431
16	47	2.49574
16	65	2.34621
16	310	2.53659
